Location,Property_Type,Bedrooms,Bathrooms,House_Size_sqm,Lot_Size_sqm,Year_Built,Furnishing,Water_Supply,Power_Supply,Annual_Rent_NGN
Agbowo,Room,1,1,29,436,2019,Unfurnished,Borehole,Stable,209000
Apata,Mini Flat,1,2,59,935,1997,Fully Furnished,Borehole,Moderate,439000
Oluyole,Self Contained,1,1,31,849,2010,Unfurnished,Borehole,Poor,390000
Akobo,Mini Flat,1,2,58,681,1997,Unfurnished,Public,Stable,758000
Ajibode,3 Bedroom Flat,3,3,126,488,2000,Unfurnished,Public,Poor,987000
Ajibode,Self Contained,1,1,37,766,2023,Unfurnished,Borehole,Moderate,245000
Ajibode,Self Contained,1,1,28,345,2005,Semi-Furnished,Well,Stable,368000
Mokola,Room,1,1,21,743,1996,Semi-Furnished,Well,Poor,250000
Akobo,Room,1,1,27,717,1993,Unfurnished,Public,Stable,231000
Oluyole,Self Contained,1,1,30,522,2021,Fully Furnished,Public,Stable,542000
Ajibode,Mini Flat,1,2,51,755,2011,Fully Furnished,Borehole,Moderate,667000
Ologuneru,2 Bedroom Flat,2,2,80,469,1996,Semi-Furnished,Well,Moderate,723000
Mokola,Self Contained,1,1,33,322,2002,Semi-Furnished,Borehole,Moderate,304000
Ajibode,Room,1,1,22,726,2007,Unfurnished,Borehole,Stable,192000
Ajibode,Room,1,1,26,534,2023,Unfurnished,Borehole,Poor,174000
Ajibode,2 Bedroom Flat,2,2,90,658,2002,Unfurnished,Borehole,Poor,831000
Agbowo,Room,1,1,25,877,2023,Fully Furnished,Well,Moderate,284000
Bodija,Self Contained,1,1,27,419,2018,Fully Furnished,Well,Stable,627000
Agbowo,3 Bedroom Flat,3,3,159,524,1994,Unfurnished,Well,Stable,1072000
Agbowo,Room,1,1,24,832,2020,Unfurnished,Well,Poor,188000
Akobo,Mini Flat,1,2,62,670,2000,Semi-Furnished,Borehole,Moderate,823000
Ajibode,3 Bedroom Flat,3,3,125,424,1993,Unfurnished,Borehole,Stable,1223000
Agbowo,Room,1,1,18,378,1996,Semi-Furnished,Well,Moderate,245000
Agbowo,Self Contained,1,1,34,454,2012,Unfurnished,Well,Poor,302000
Bodija,2 Bedroom Flat,2,2,90,417,2020,Unfurnished,Well,Moderate,976000
Challenge,Room,1,1,21,592,2006,Unfurnished,Well,Moderate,175000
Ajibode,Self Contained,1,1,32,564,1999,Semi-Furnished,Well,Moderate,358000
Bodija,Mini Flat,1,2,54,600,2011,Semi-Furnished,Borehole,Stable,802000
Akobo,Mini Flat,1,2,64,398,2019,Unfurnished,Well,Poor,584000
Ajibode,Self Contained,1,1,33,537,2018,Unfurnished,Borehole,Stable,327000
Akobo,Room,1,1,19,200,2006,Fully Furnished,Well,Stable,438000
Ajibode,Self Contained,1,1,37,576,2010,Semi-Furnished,Well,Poor,315000
Ajibode,Self Contained,1,1,30,761,2011,Unfurnished,Borehole,Stable,331000
Apata,Self Contained,1,1,35,293,2011,Unfurnished,Borehole,Moderate,255000
Ologuneru,Self Contained,1,1,38,637,2016,Unfurnished,Borehole,Stable,284000
Challenge,2 Bedroom Flat,2,2,92,440,2012,Unfurnished,Borehole,Moderate,565000
Agbowo,Mini Flat,1,2,50,694,1993,Semi-Furnished,Borehole,Moderate,670000
Ajibode,Room,1,1,29,578,2015,Unfurnished,Well,Stable,188000
Oluyole,Self Contained,1,1,38,622,2006,Semi-Furnished,Borehole,Moderate,506000
Bodija,Room,1,1,28,561,1992,Semi-Furnished,Public,Moderate,384000
Ajibode,Self Contained,1,1,35,789,2006,Unfurnished,Borehole,Poor,301000
Bodija,Self Contained,1,1,30,612,2008,Semi-Furnished,Borehole,Moderate,442000
Ajibode,Mini Flat,1,2,63,423,2007,Semi-Furnished,Well,Moderate,675000
Ring Road,Self Contained,1,1,39,567,2017,Unfurnished,Well,Poor,290000
Agbowo,Self Contained,1,1,27,483,2004,Fully Furnished,Well,Moderate,450000
Oluyole,Mini Flat,1,2,51,579,2015,Semi-Furnished,Well,Stable,787000
Agbowo,Self Contained,1,1,36,474,2005,Semi-Furnished,Borehole,Stable,379000
Bodija,2 Bedroom Flat,2,2,87,428,2004,Unfurnished,Well,Stable,868000
Bodija,Room,1,1,24,585,1994,Semi-Furnished,Borehole,Stable,353000
Ajibode,Mini Flat,1,2,58,560,2013,Unfurnished,Borehole,Stable,498000
Ologuneru,Self Contained,1,1,37,741,1991,Unfurnished,Borehole,Moderate,237000
Challenge,Self Contained,1,1,26,475,2020,Fully Furnished,Public,Moderate,317000
Apata,Mini Flat,1,2,61,200,2019,Semi-Furnished,Borehole,Moderate,376000
Ring Road,Self Contained,1,1,34,484,2001,Semi-Furnished,Borehole,Poor,416000
Akobo,Self Contained,1,1,27,257,2010,Unfurnished,Public,Moderate,406000
Apata,Room,1,1,20,624,2001,Semi-Furnished,Well,Stable,173000
Ajibode,Room,1,1,20,248,2011,Semi-Furnished,Well,Moderate,214000
Ajibode,Mini Flat,1,2,45,372,1997,Unfurnished,Public,Moderate,472000
Ajibode,Self Contained,1,1,29,484,2016,Semi-Furnished,Borehole,Moderate,347000
Agbowo,Mini Flat,1,2,45,827,2016,Semi-Furnished,Well,Poor,600000
Agbowo,3 Bedroom Flat,3,3,137,356,1996,Fully Furnished,Public,Moderate,1282000
Agbowo,Mini Flat,1,2,50,552,1992,Unfurnished,Well,Moderate,482000
Mokola,Room,1,1,28,654,1993,Unfurnished,Well,Moderate,176000
Agbowo,Room,1,1,23,817,2013,Unfurnished,Borehole,Moderate,228000
Agbowo,Self Contained,1,1,26,690,1997,Unfurnished,Borehole,Moderate,333000
Bodija,Room,1,1,29,746,2002,Semi-Furnished,Public,Stable,317000
Ajibode,3 Bedroom Flat,3,3,157,705,1998,Semi-Furnished,Public,Stable,957000
Challenge,3 Bedroom Flat,3,3,131,332,2009,Unfurnished,Well,Moderate,1018000
Ajibode,2 Bedroom Flat,2,2,86,614,2009,Unfurnished,Borehole,Poor,627000
Ologuneru,Self Contained,1,1,27,702,1994,Unfurnished,Well,Moderate,262000
Challenge,2 Bedroom Flat,2,2,92,377,1994,Unfurnished,Well,Moderate,656000
Ajibode,Room,1,1,26,445,1990,Semi-Furnished,Borehole,Poor,241000
Ajibode,Room,1,1,22,405,2004,Fully Furnished,Well,Stable,229000
Mokola,Self Contained,1,1,31,689,2006,Semi-Furnished,Borehole,Moderate,339000
Oluyole,Mini Flat,1,2,55,537,2001,Semi-Furnished,Borehole,Moderate,691000
Oluyole,Self Contained,1,1,33,492,2004,Unfurnished,Borehole,Stable,359000
